ID,Str
String,String
Str_Tutorial_Choise_NPC,NPC를 골라 봐요
Str_Tutorial_Go_Front,NPC를 향해 걸어봐요
Str_Look_Beside,양 옆을 살펴요
Str_Raise_Hand,손을 머리 높이 올려요
Str_Cross_Road,손을 들고 길을 건너 봐요
Str_Hehind_Yellow,노란 안전선 뒤가 안전해요
Str_Waiting_Greenlight,초록불이 켜질 때까지 기다려요
Str_Meeting_Friend,친구를 만나러 가야 해요
Str_Announce_Tutorial_1,"게임 시작 전에 지켜야 할 약속이 있어!

첫째, 꼭 부모님이나 선생님과 함께 플레이해 줘!
둘째, 팔이나 고개를 움직일 땐 조심해야 해!
셋째, 15분마다 쉬고, 어지러우면 바로 멈추기!

약속 잘 지키면, 재밌고 안전하게 놀 수 있어!"
Str_Announce_Tutorial_2,"이제 움직이는 연습이야!
내 앞에 빛나는 공간 보이지?

팔을 앞뒤로 살살 흔들면 움직일 수 있어!
빠르게 흔들면 빨리, 천천히 흔들면 천천히 가!

그럼 이쪽으로 와!"
Str_Announce_Tutorial_3,"잘했어! 이번엔 더 자유롭게 움직여보자!

[버튼]을 누르면  
내가 보고 있는 방향으로 이동할 수 있어!

왼쪽, 오른쪽도 움직일 수 있어!"
Str_Announce_Tutorial_4,"길을 건너기 전에 좌우 확인은 필수야!

고개를 왼쪽으로 돌리면 게이지가 나타나!  
잠깐 유지하면 확인 완료~  
오른쪽도 똑같이 해줘야 성공이야!

길을 건널 땐 꼭 좌우 확인! 알았지?"
Str_Announce_Tutorial_5,"이번엔 손들기야!

왼손을 머리 위로 쭉~ 들어봐!  
게이지가 나타나고, 유지하면 성공!

팔을 내리면 실패니까  
끝까지 높이 유지하는 게 중요해!"
Str_Announce_Tutorial_6,"좋아, 이제 진짜 도로를 건너보자!

왼손은 번쩍!  
오른손은 흔들흔들~!

두 가지 동작을 같이 해야  
안전하게 건널 수 있어!"
Str_Announce_Tutorial_7,"정말 잘했어!

이제 연습은 끝!
진짜 보행 왕이 되어 가보자!

다음 챕터로 가보자!"
Str_Announce_Chapter1_1,"안녕~ 잘 왔어!

여기는 횡단보도를 안전하게 건너는 방법을 배우는 곳이야!

앞에 보이는 표시된 길까지  
하나씩 차근차근~ 같이 배워보자!"
Str_Announce_Chapter1_2,"이제 미션을 시작해볼까?

여기 체크리스트를 봐줘!  
앞으로 해야 할 일이 순서대로 적혀 있어!

내가 같이 가면서 하나씩 알려줄게!"
Str_Announce_Chapter1_3,"앞에 보이는 노란선을 봐봐.  
그 선 앞에서 멈춰서 신호를 기다려야 해!

초록불이 켜질 때까지,  
여기에서 조용히 기다려보자!"
Str_Announce_Chapter1_4,"초록불이 켜졌어!

먼저 좌우가 안전한지 확인해야 해!  
튜토리얼에서 연습했던 거, 떠올려봐~

그럼 우선~ 왼쪽부터 살펴보자!"
Str_Announce_Chapter1_5,"잘했어! 왼쪽은 확인 완료!

이제 반대쪽, 오른쪽도 살펴보자!"
Str_Announce_Chapter1_6,"이제 내가 건너요~ 하고  
운전자에게 알려줄 차례야!

왼손을 머리 위로 번쩍!  
손을 들고 천천히 길을 건너자!"
Str_Announce_Chapter1_7,최고야! 다음 건널목으로 가보자~!
Str_Announce_Chapter1_8,"조금 아쉬웠지만 괜찮아!

다시 도전하면 돼!  
이번엔 더 잘할 수 있을 거야!"
Str_Announce_Chapter1_9,"이제 혼자서도 할 수 있겠지?

신호에 맞춰 조심조심~  
방금 배운 대로 해보자!

혹시 무슨 일이 생기면,  
내가 바로 도와줄 테니까 걱정 마! 화이팅!"
Str_Announce_Chapter1_10,진짜~ 최고야! 
Str_Announce_Chapter1_11,"안전 보행 미션 완료!

이제 진짜 도로에서도  
스스로 잘 건널 수 있겠는걸?

좋아~ 다음 학습으로 떠나볼까?"
Str_Announce_Chapter2_1,"안녕~ 다시 만나서 반가워!

이번엔 골목길이야.  
차도 많고, 조금 복잡할 수 있어.

그래서 더 조심해야 해!  
하나씩 배워보면서 같이 걸어보자!"
Str_Announce_Chapter2_2,"이번엔 정말 중요한 것만 알려줄게~

앞에서 배운 걸 떠올리면서  
스스로 해보는 거야!

나는 옆에서 살~짝 지켜볼게. 파이팅!"
Str_Announce_Chapter2_3,"주차된 차 옆에서는  
운전자가 널 잘 못 볼 수도 있어!

그래서 앞쪽으로 나가서  
서로 잘 보일 수 있는 자리로 가볼까!"
Str_Announce_Chapter2_4,잘했어! 최고야! 
Str_Announce_Chapter2_5,"골목길 안전 보행 미션 완료!

이제 골목길에서도  
스스로 잘 건널 수 있겠는걸?

좋아~ 다음 학습으로 떠나볼까?"
Str_Announce_Chapter2_Minigame_1,"이번엔 아주 특별한 체험을 준비했어!

차량에는 사각지대라는 게 있대!
얼마나 잘 안 보이는지 직접 확인해보자!"
Str_Announce_Chapter2_Minigame_2,"사각지대는, 운전자 시야로는 보이지 않는 공간이야.

창문으로도, 거울로도 잘 안 보여서…
친구가 거기 있으면 정말 위험해.

그래서 지금부터, 그걸 네 눈으로 직접 확인해볼 거야!"
Str_Announce_Chapter2_Minigame_3,"사각지대가 얼마나 잘 안 보이는지,
간단한 게임으로 직접 느껴볼까?

차량 주변에 장난꾸러기 친구들이 숨어 있을 거야!
너가 지목해서 찾아내면 돼!

정해진 시간 안에 몇 명을 찾아볼 수 있을까?!

그럼~ 준비 되었어?!"
Str_Announce_Chapter2_Minigame_4,"수고했어! 친구들을 얼마나 잘 찾았는지 한 번 볼까?

오~ 잘 찾았는걸?! 정말 잘했어!
근데... 이 친구는 아주 제대로 숨어 있었지?"
Str_Announce_Chapter2_Minigame_5,"그럼 이제, 아직까지 잘 숨어 있는
친구들은 어디 있었는지 확인해볼까?

이처럼 친구들이 숨어있을 때
자동차가 움직였으면 정말 위험했을 거야.

이제 사각지대가 얼마나 위험한지 잘 알겠지?"
Str_Announce_Chapter2_Minigame_6,"이제 너도 사각지대 전문가야~!

그럼, 다음 장소로 가보자!"
Str_Announce_Chapter3_1,"주변 사람들을 잘 관찰해보는 게임이야!

위험하게 걷는 사람을 찾아서  
컨트롤러로 선택해줘!

잘 찾으면 점수가 올라가고,  
틀리면 점수가 깎일 수 있어!

시간 안에 많은 사람을 맞혀보자! 준비됐지?"
Str_Announce_Chapter3_2,3...2...1...시작!
Str_Announce_Chapter3_3,"정말 대단했어!

안전 보행 교육을 완벽히 마친  
모범 보행자에게 수료증을 수여합니다!

앞으로도 안전하게 걸을 수 있겠지?  
진심으로 축하해!"
Str_Announce_Chapter3_4,"수고했어~!

안전 보행 교육을 잘 마쳐서  
수료증을 받을 수 있게 되었어!

조금 더 연습하면  
너도 금메달에 도전할 수 있을 거야!"
Str_Announce_Chapter3_5,"정말 수고했어~ 여기까지 온 것도 멋진 일이야!

모든 게임을 끝까지 해낸 너에게  
보행 안전 수료증을 줄게!

다음엔 더 멋지게 해낼 수 있을 거야!  
내가 항상 응원할게~"
