id,ko,en
Sg1_1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.
Sg1_2,"방금 있었던 일이 왜 위험했는지, 같이 살펴보자!",Let's take a look together at why what just happened was dangerous!
Sg1_3,"방금 행동이 위험했던 건, 네가 노란선을 지나쳤기 때문이야.",The reason your actions were dangerous just now was because you crossed the yellow line.
Sg1_4,그 선은 멈추라는 표시야. 무시하면 진짜 큰 사고로 이어질 수도 있어.,That line is a stop sign. Ignoring it could lead to a really big accident.
Sg1_5,"안전선이 있는 이유는,운전자들이 우리를 더 쉽게 볼 수 있도록 하기 위해서야.",The reason there are safety lines is to make it easier for drivers to see us.
Sg1_6,"그리고 혹시라도 너무 앞으로 나가면,차와 부딪힐 위험이 있기 때문이야.","And if you go too far forward, you run the risk of hitting a car."
Sg1_7,"봐봐,저렇게 너무 앞으로 나가 있으면…","Look, if you go too far forward like that…"
Sg1_8,차가 오다가 진짜 부딪힐 수도 있어!,A car might actually hit you if it comes!
Sg1_9,"그럼,어떻게 해야 안전한지 같이 한번 볼까?","Well then, let's take a look at how to be safe."
Sg1_10,"봐봐,이 친구는 노란선 안쪽에서 잘 기다리고 있어!","Look, this guy is waiting just inside the yellow line!"
Sg1_11,"이런 식으로 하면,운전자도 너를 잘 볼 수 있어서 훨씬 더 안전해!","This way, the driver can see you better, so it's much safer!"
Sg1_12,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?"
Sg1_13,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!
Sg4_1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.
Sg4_2,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!",Let's take a look at why what just happened was dangerous!
Sg4_3,아까 넌 초록불이 깜빡이기 시작했을 때 건너기 시작했지?,"You started crossing when the green light started blinking, right?"
Sg4_4,"그때는 곧 신호가 바뀐다는 뜻이라서,건너기엔 너무 위험한 순간이야.","At that moment, it is too dangerous to cross because it means the signal will change soon."
Sg4_5,초록불이 깜빡이면 곧 빨간불로 바뀐다는 뜻이야.,"If the green light is blinking, it means it will soon turn red."
Sg4_6,"이때 건너면, 길 한가운데에 멈춰 있게 될 수도 있고,차가 달려올 수도 있어.","If you cross at this time, you may end up stopped in the middle of the road, or a car may come running."
Sg4_7,"봐봐,지금 깜빡이는데도 그냥 건너면....","Look, it's blinking right now, but if you just cross it..."
Sg4_8,아아! 이럴 줄 알았어!,Ahh! I knew it!
Sg4_9,지키지 않으면 저런 상황이 나올 거야! 그러니까 꼭 지켜야 해! 그래야 진짜 안전해,"If you don't follow the rules, that kind of situation will happen! So you have to follow them! That's the only way to be truly safe."
Sg4_10,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?"
Sg4_11,이 친구는 깜빡일 땐 멈추고 다음 신호까지 기다리는거 보이지?,Can you see this guy stopping when the light flashes and waiting until the next signal?
Sg4_12,"이렇게 기다렸다가 건너면,안전하게 길을 건널 수 있어!","If you wait like this and then cross, you can cross the road safely!"
Sg4_13,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?"
Sg4_14,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!
Sg5_1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.
Sg5_2,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!",Let's take a look at why what just happened was dangerous!
Sg5_3,"방금,횡단보도에서 건너다가 중간에 갑자기 멈췄지?","Just now, you were crossing the street and suddenly stopped in the middle of the street?"
Sg5_4,네가 걷는다고 생각하고 모두가 기다리고 있었는데,Everyone was waiting for you to walk
