Id,TTS,Text
Sg1_1,1,괜찮아. 누구나 실수할 수 있는 거야.
Sg1_2,1,"방금 있었던 일이 왜 위험했는지, 같이 살펴보자!"
Sg1_3,1,"방금 행동이 위험했던 건, 네가 노란선을 지나쳤기 때문이야."
Sg1_4,1,그 선은 멈추라는 표시야. 무시하면 진짜 큰 사고로 이어질 수도 있어.
Sg1_5,1,"안전선이 있는 이유는,운전자들이 우리를 더 쉽게 볼 수 있도록 하기 위해서야."
Sg1_6,1,"그리고 혹시라도 너무 앞으로 나가면,차와 부딪힐 위험이 있기 때문이야."
Sg1_7,1,"봐봐,저렇게 너무 앞으로 나가 있으면…"
Sg1_8,1,차가 오다가 진짜 부딪힐 수도 있어!
Sg1_9,1,"그럼,어떻게 해야 안전한지 같이 한번 볼까?"
Sg1_10,1,"봐봐,이 친구는 노란선 안쪽에서 잘 기다리고 있어!"
Sg1_11,1,"이런 식으로 하면,운전자도 너를 잘 볼 수 있어서 훨씬 더 안전해!"
Sg1_12,1,어때? 이제 어떻게 하면 좋은지 알겠지?
Sg1_13,1,다시 한번 도로로 돌아가서 다시 도전하자!
Sg4_1,1,괜찮아. 누구나 실수할 수 있는 거야.
Sg4_2,1,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!"
Sg4_3,1,아까 넌 초록불이 깜빡이기 시작했을 때 건너기 시작했지?
Sg4_4,1,"그때는 곧 신호가 바뀐다는 뜻이라서,건너기엔 너무 위험한 순간이야."
Sg4_5,1,초록불이 깜빡이면 곧 빨간불로 바뀐다는 뜻이야.
Sg4_6,1,"이때 건너면, 길 한가운데에 멈춰 있게 될 수도 있고,차가 달려올 수도 있어."
Sg4_7,1,"봐봐,지금 깜빡이는데도 그냥 건너면...."
Sg4_8,1,아아! 이럴 줄 알았어!
Sg4_9,1,지키지 않으면 저런 상황이 나올 거야! 그러니까 꼭 지켜야 해! 그래야 진짜 안전해
Sg4_10,1,"그럼,이제 어떻게 하면 되는지 같이 볼까?"
Sg4_11,1,이 친구는 깜빡일 땐 멈추고 다음 신호까지 기다리는거 보이지?
Sg4_12,1,"이렇게 기다렸다가 건너면,안전하게 길을 건널 수 있어!"
Sg4_13,1,어때? 이제 어떻게 하면 좋은지 알겠지?
Sg4_14,1,다시 한번 도로로 돌아가서 다시 도전하자!
Sg5_1,1,괜찮아. 누구나 실수할 수 있는 거야.
Sg5_2,1,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!"
Sg5_3,1,"방금,횡단보도에서 건너다가 중간에 갑자기 멈췄지?"
Sg5_4,1,네가 걷는다고 생각하고 모두가 기다리고 있었는데
Sg5_5,1,갑자기 멈추면 주변이 혼란스러워질 수 있어.
Sg5_6,1,도로는 그냥 서 있기엔 너무 위험한 곳이야.
Sg5_7,1,차는 네가 계속 걷는다고 생각하고 멈춰 있었는데
Sg5_8,1,"멈춰버리면,차도 그렇고 뒤따라오는 사람들도 ‘어? 왜 멈췄지?’ 하고 당황할 수 있어."
Sg5_9,1,"그렇게 흐름이 엉키면,더 위험한 상황이 생길 수 있어."
Sg5_10,1,"그래서 도로 위에서는,멈추지 않고 쭉 걷는 게 가장 안전한 거야."
Sg5_11,1,"방금처럼 갑자기 멈추면,뒤에 오는 사람도 놀라서 다칠 수 있어."
Sg5_12,1,"이렇게 흐름이 엉키면,차도 보행자도 다 위험해질 수 있어."
Sg5_13,1,"자,이제 어떻게 하면 되는지 같이 한번 볼까?"
Sg5_14,1,"정말 간단해! 도로를 걸을 땐,멈추지 않고 끝까지 쭉 걷는 거야."
Sg5_15,1,너라면 분명히 할 수 있을 거야. 믿고 있어!
Sg5_16,1,어때? 이제 어떻게 하면 좋은지 알겠지?
Sg5_17,1,다시 한번 도로로 돌아가서 다시 도전하자!
Sg8_1,1,지금 그건… 정말 하면 안 되는 행동이었어.
Sg8_2,1,"왜 그런 위험한 행동을 한 거야? 장난이라도,그런 짓은 절대 하면 안 돼."
Sg8_3,1,"너 지금,신호가 빨간불이었는데 건넜거나…혹은,횡단보도도 아닌데 도로에 들어왔지?"
Sg8_4,1,"이럴 땐 차도 너를 못 보고,차가 멈추는 것도 거의 불가능해."
Sg8_5,1,"정말,한순간에 큰 사고로 이어질 수 있어."
Sg8_6,1,"신호등이랑 횡단보도는,사람이 언제 어디서 건널지 차가 알 수 있게 도와주는 약속이야."
Sg8_7,1,"근데 그걸 지키지 않으면,차도 나도 서로 뭘 할지 몰라서,너무 위험해지는 거야."
Sg8_8,1,"그래서 길을 건널 땐,신호에 맞춰,정해진 길에서만 건너야 해."
Sg8_9,1,"그럼,이번엔 어떻게 해야 안전한지 차분히 보여줄게."
Sg8_10,1,"빨간불일 땐,이렇게 노란 안전선 뒤에서 멈춰 있어야 해."
Sg8_11,1,"초록불로 바뀌면,좌우를 확인하고 손을 들고 천천히 건너면 돼."
Sg8_12,1,"신호를 지키는 건,네 안전을 지키는 거란 걸 꼭 기억해."
Sg8_13,1,어때? 이제 어떻게 하면 좋은지 알겠지?
Sg8_14,1,다시 한번 도로로 돌아가서 다시 도전하자!
GsStart1,1,괜찮아. 누구나 실수할 수 있는 거야.
GsStart2,1,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!"
